fixture_id,team_id,player_id,player_name,minutes,goals,assists,shots,passes,tackles,duels_won
1506108,1138,79249,Jorge Soto,0,,0.0,,29.0,,
1506108,1138,439969,Brayan Correa,0,,0.0,,35.0,2.0,3.0
1506108,1138,35483,Andrés Mosquera,0,,0.0,,55.0,,3.0
1506108,1138,13286,Nicolás Hernández,0,,0.0,,37.0,2.0,2.0
1506108,1138,81631,Cristian Tovar,0,,0.0,,27.0,1.0,2.0
1506108,1138,573843,Camilo Amu,0,,0.0,,33.0,3.0,4.0
1506108,1138,2459,Darwin Machís,0,,0.0,1.0,18.0,2.0,5.0
1506108,1138,506562,Joel Romero,0,,0.0,2.0,30.0,1.0,3.0
1506108,1138,13190,Carlos Sierra,0,,1.0,1.0,29.0,2.0,4.0
1506108,1138,538255,Tilman Palacios,0,,0.0,3.0,19.0,1.0,6.0
1506108,1138,46695,Adrián Ramos,0,1.0,0.0,4.0,16.0,,2.0
1506108,1138,59849,Marcos Mina,0,,0.0,,27.0,,
1506108,1138,303136,Jan Lucumí,0,,0.0,,6.0,,
1506108,1138,636715,Jhordy Camacho,0,,0.0,,3.0,1.0,2.0
1506108,1138,13771,Dylan Borrero,0,,0.0,,4.0,1.0,1.0
1506108,1138,538207,Kevin Angulo,0,,0.0,1.0,1.0,,1.0
1506108,1138,0,Alejandro Benítez,0,,,,,,
1506108,1138,0,Johan Fernando Molina Balanta,0,,,,,,
1506108,1138,521170,Juan Aponzá,0,,,,,,
1506108,1138,16790,Daniel Valencia,0,,,,,,
1506108,1462,81034,Yimy Gómez,0,,0.0,,29.0,,
1506108,1462,13607,Walmer Pacheco,0,,0.0,,81.0,,2.0
1506108,1462,367815,Sebastián Urrea,0,,0.0,1.0,59.0,,3.0
1506108,1462,13391,Richard Rentería,0,,0.0,,57.0,,
1506108,1462,294466,Tobias Bovone,0,,0.0,,43.0,,1.0
1506108,1462,454488,Nicolas Rengifo,0,,0.0,,60.0,2.0,2.0
1506108,1462,59593,Jorge Bermúdez,0,,0.0,,61.0,2.0,3.0
1506108,1462,59471,Jordy Monroy,0,,0.0,,39.0,,1.0
1506108,1462,13430,Sebastián Acosta,0,,0.0,4.0,40.0,,2.0
1506108,1462,612965,Miguel Aguirre,0,,0.0,,19.0,1.0,4.0
1506108,1462,653080,Manuel Alejandro Diaz Hernandez,0,,0.0,,8.0,,3.0
1506108,1462,612949,Santiago Álzate,0,,0.0,,2.0,,2.0
1506108,1462,59507,Fabio Delgado,0,,0.0,,7.0,,
1506108,1462,634649,Luis Moreno,0,,0.0,,,,
1506108,1462,636711,Miguel Palacios,0,,0.0,,,,
1506108,1462,612960,Samuel Atehortua,0,,,,,,
1506108,1462,70726,Danilo Ortiz,0,,,,,,
1506108,1462,306783,Eber Moreno,0,,,,,,
1506108,1462,651182,Juan Morales,0,,,,,,
1506108,1462,612951,Jhon Montoya,0,,,,,,
1506114,1135,13457,Jefersson Martínez,0,,0.0,,19.0,,
1506114,1135,13787,Edwin Herrera,0,,0.0,,30.0,2.0,4.0
