Equipo,PJ,PG,PE,PP,GF,GC,DIF,PTS
Independiente Medellin,20,12,4,4,46,28,18,40
Deportes Tolima,20,12,2,6,29,17,12,38
Atletico Nacional,20,10,7,3,38,24,14,37
Bucaramanga,20,11,4,5,31,20,11,37
Junior,20,10,5,5,35,25,10,35
Fortaleza FC,20,9,8,3,25,19,6,35
Santa Fe,20,8,7,5,21,17,4,31
America de Cali,20,8,5,7,23,19,4,29
Alianza Petrolera,20,8,5,7,24,22,2,29
Rionegro Aguilas,20,7,6,7,29,27,2,27
Once Caldas,20,7,6,7,21,24,-3,27
Millonarios,20,7,5,8,23,26,-3,26
Llaneros,20,7,4,9,17,25,-8,25
Deportivo Cali,20,5,6,9,22,28,-6,21
Union Magdalena,20,6,3,11,22,32,-10,21
Envigado,20,4,8,8,18,22,-4,20
Deportivo Pasto,20,4,7,9,26,28,-2,19
Deportivo Pereira,20,4,6,10,19,36,-17,18
Chico,20,3,7,10,14,29,-15,16
La Equidad,20,3,5,12,14,29,-15,14
